run_id,phase,model,method,sparsity,schedule,calibration,task,num_fewshot,seed,enabled,notes
phase0__llama31_8b__dense__sp0__schuniform__calnone__capmini__seed13,phase0,llama31_8b,dense,0,uniform,none,capability_mini,0,13,1,phase0 sanity dense
phase0__llama31_8b__sparsegpt__sp30__schuniform__calA__capmini__seed13,phase0,llama31_8b,sparsegpt,30,uniform,A,capability_mini,0,13,1,phase0 sanity sparsegpt
phase0__llama31_8b__sparsegpt__sp70__schuniform__calA__capmini__seed13,phase0,llama31_8b,sparsegpt,70,uniform,A,capability_mini,0,13,1,phase0 sanity sparsegpt
phase0__llama31_8b__magnitude__sp30__schuniform__calnone__capmini__seed13,phase0,llama31_8b,magnitude,30,uniform,none,capability_mini,0,13,1,phase0 sanity magnitude
phase0__llama31_8b__magnitude__sp70__schuniform__calnone__capmini__seed13,phase0,llama31_8b,magnitude,70,uniform,none,capability_mini,0,13,1,phase0 sanity magnitude

phase1__llama31_8b__dense__sp0__schuniform__calnone__synthicl__seed13,phase1,llama31_8b,dense,0,uniform,none,synthetic_linear_icl,8,13,1,core dense synthetic
phase1__llama31_8b__dense__sp0__schuniform__calnone__synthicl__32__seed13,phase1,llama31_8b,dense,0,uniform,none,synthetic_linear_icl,32,13,1,core dense synthetic

phase1__llama31_8b__wanda__sp30__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wanda,30,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wanda__sp50__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wanda,50,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wanda__sp70__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wanda,70,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wanda__sp80__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wanda,80,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wanda__sp90__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wanda,90,uniform,A,synthetic_linear_icl,8,13,1,core synthetic

phase1__llama31_8b__wandapp__sp30__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wandapp,30,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wandapp__sp50__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wandapp,50,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wandapp__sp70__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wandapp,70,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wandapp__sp80__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wandapp,80,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__wandapp__sp90__schuniform__calA__synthicl__seed13,phase1,llama31_8b,wandapp,90,uniform,A,synthetic_linear_icl,8,13,1,core synthetic

phase1__llama31_8b__ria__sp30__schuniform__calA__synthicl__seed13,phase1,llama31_8b,ria,30,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__ria__sp50__schuniform__calA__synthicl__seed13,phase1,llama31_8b,ria,50,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__ria__sp70__schuniform__calA__synthicl__seed13,phase1,llama31_8b,ria,70,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__ria__sp80__schuniform__calA__synthicl__seed13,phase1,llama31_8b,ria,80,uniform,A,synthetic_linear_icl,8,13,1,core synthetic
phase1__llama31_8b__ria__sp90__schuniform__calA__synthicl__seed13,phase1,llama31_8b,ria,90,uniform,A,synthetic_linear_icl,8,13,1,core synthetic

phase1__llama31_8b__magnitude__sp50__schuniform__calnone__synthicl__seed13,phase1,llama31_8b,magnitude,50,uniform,none,synthetic_linear_icl,8,13,1,baseline synthetic
phase1__llama31_8b__magnitude__sp70__schuniform__calnone__synthicl__seed13,phase1,llama31_8b,magnitude,70,uniform,none,synthetic_linear_icl,8,13,1,baseline synthetic
phase1__llama31_8b__magnitude__sp90__schuniform__calnone__synthicl__seed13,phase1,llama31_8b,magnitude,90,uniform,none,synthetic_linear_icl,8,13,1,baseline synthetic

phase1__llama31_8b__dense__sp0__schuniform__calnone__mmlu_zs__seed13,phase1,llama31_8b,dense,0,uniform,none,mmlu,0,13,1,credibility zero-shot
phase1__llama31_8b__dense__sp0__schuniform__calnone__mmlu__seed13,phase1,llama31_8b,dense,0,uniform,none,mmlu,5,13,1,credibility slice
phase1__llama31_8b__wanda__sp30__schuniform__calA__mmlu__seed13,phase1,llama31_8b,wanda,30,uniform,A,mmlu,5,13,1,smoke wanda 30 mmlu
